iter	Logloss
0	0.6801441077
1	0.669626843
2	0.6597480063
3	0.6534328948
4	0.6470154299
5	0.6417752055
6	0.635858172
7	0.6314492087
8	0.6245826126
9	0.6213007846
10	0.6160082285
11	0.6113522095
12	0.6088602617
13	0.6063418417
14	0.6040167055
15	0.6020664156
16	0.6000836025
17	0.5963740436
18	0.5946183535
19	0.592654067
20	0.5908804062
21	0.589393446
22	0.5877783269
23	0.5865188858
24	0.5846379831
25	0.5824377124
26	0.5806288017
27	0.5794540569
28	0.5787598491
29	0.5780154205
30	0.577158303
31	0.5763850629
32	0.5746782509
33	0.5740834175
34	0.5730225281
35	0.5725176391
36	0.5713170195
37	0.5707612101
38	0.5699200098
39	0.5690652152
40	0.5681821876
41	0.5674651966
42	0.5669148028
43	0.5663978899
44	0.5661407755
45	0.5657022241
46	0.5650758669
47	0.5648100541
48	0.5642786091
49	0.5639271872
50	0.5636652731
51	0.5634286083
52	0.5630105056
53	0.5623907306
54	0.5619586449
55	0.5616840874
56	0.5612880648
57	0.5610800869
58	0.5607979591
59	0.5605049774
60	0.5602093158
61	0.5599545669
62	0.5596471236
63	0.5592510939
64	0.5589791937
65	0.5586857429
66	0.5584308278
67	0.5580282306
68	0.557818725
69	0.5576305755
70	0.5573173959
71	0.5570898614
72	0.5567825211
73	0.5566173603
74	0.5563837541
75	0.5561795508
76	0.5559802916
77	0.5556956933
78	0.5555044626
79	0.5553199611
80	0.5551386766
81	0.5548226419
82	0.5545976159
83	0.5544443505
84	0.5541764667
85	0.5539744897
86	0.5537696077
87	0.5535956344
88	0.5534388762
89	0.5531671023
90	0.5529593035
91	0.5527673155
92	0.5525310336
93	0.552280723
94	0.5520438257
95	0.5518381481
96	0.5516588283
97	0.5514707172
98	0.5512795443
99	0.5510883491
100	0.5508018878
101	0.5505629794
102	0.5504505654
103	0.55032285
104	0.5500912631
105	0.5498683669
106	0.5497046984
107	0.5495539292
108	0.5493483168
109	0.5491965071
110	0.5490276248
111	0.5488765986
112	0.5487183713
113	0.5485793294
114	0.5484207813
115	0.5482290508
116	0.548037893
117	0.5479229868
118	0.547774747
119	0.5476398724
120	0.5475099851
121	0.5472897998
122	0.5470818657
123	0.5469194354
124	0.5467457079
125	0.546585901
126	0.5464082456
127	0.5462465047
128	0.5460712865
129	0.545872554
130	0.5456800423
131	0.5455510576
132	0.545348824
133	0.5451994176
